Ad state	Ad	Description line 1	Description line 2	Display URL	Destination URL	Final URL	Mobile final URL	Tracking template	Custom parameter	Campaign	Ad group	Status	Labels	Campaign Type	Campaign sub-type	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Converted clicks	Cost / converted click	Click conversion rate	View-through Conv.
enabled	Peugeot207 CC 1.6 Vti GT	With Leather Only £695 Deposit	23x £189 per month! In Stock Now.	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/VehicleDetails.aspx?typ=LEASE&recno=199					Peugeot 207	Peugeot 207	campaign paused	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
removed	Lease Deal Grande Punto	1.2 ACTIVE only £99pm over 47mths	"£495 Dep, Unlimited Miles - BARGAIN"	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/VehicleDetails.aspx?typ=LEASE&recno=21					Fiat Punto	Fiat Punto	removed	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
removed	Cheapest UK Punto Deal	New Model 1.4 Active 5 door £109	Include Vat Unbeatable In Stock Now	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/VehicleDetails.aspx?typ=LEASE&recno=21					Fiat Punto	Fiat Punto	removed	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
removed	NEW Ford Focus £155pm	Top Deal New Ford Focus 1.6 Style	Climate/Tax/Delivery in Feb FREE	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/hippo.aspx?section=vehicle&typ=LEASE&recno=506					Ford	Ford Focus (1.6 TDCI)	campaign paused	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
removed	Lease your car in 24 hrs	Most of our cars are in stock	You can drive away the next day!	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/hippo.aspx?section=vehiclelist&subcat=22					Bad Credit Leasing	Quick Cars	removed	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
removed	VauxhallAstra 1.6 Sport	Convertible only £199 per month	"New Deal just in, view online now."	www.hippoleasing.co.uk/	http://www.hippoleasing.co.uk/vehicle.php?formid=dealdetail&mode=lease&id=101649					Vauxhall Astra (Petrol)	Vauxhall Astra Twin Top	campaign paused	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
removed	Incredible Lease Prices	New Christmas deals online from £69	UK Free Delivery before Christmas!	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/hippo.aspx?section=vehiclelist&socat=1					Generic Vehicle Leasing	Vehicle Leasing	campaign paused	 --	Search Network with Display Select	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
removed	CiitroenC5 2.0 HDI VTR+	Citroenc 2.0 HDI saloon+sat nav	"online now,3+35 £219.99 10000 miles"	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/hippo.aspx?section=vehicle&typ=LEASE&recno=424					CitroenC2	CitroenC2	campaign paused	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
removed	RenaultMegane Convertible	"Dynamique,ONLY 36 x £159 per month"	For personal just add vat. wow!	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/VehicleDetails.aspx?typ=LEASE&recno=146					Renault Megane	Megane CC	campaign paused	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
removed	NEW Ford Focus £179pm	Top Deal on New Ford Focus 1.8TDi	Zetec. Climate/Tax/Delivery/	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk					Ford	Ford Focus (1.6 TDCI)	campaign paused	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
