Hour of day	Day	Device	Campaign state	Campaign	Budget	Status	Campaign Type	Campaign sub-type	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Converted clicks	Cost / converted click	Click conversion rate	View-through Conv.	Search Impr. share	Search Lost IS (rank)	Search Lost IS (budget)	Content Impr. share	Content Lost IS (rank)	Content Lost IS (budget)							
22	2/2/2015	Computers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
22	2/10/2015	Mobile devices with full browsers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
4	1/10/2015	Computers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	0	2	0.00%	0	0	3	0	0	0.00%	0	33.33%	16.67%	50.00%	 --	 --	 --			6.00060006	4.00060006	1.00030003	3.00030003	0
15	2/24/2015	Mobile devices with full browsers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	0	1	0.00%	0	0	4	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
8	2/3/2015	Tablets with full browsers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	0	4	0.00%	0	0	3.8	0	0	0.00%	0	80.00%	20.00%	0.00%	 --	 --	 --							
5	1/18/2015	Computers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0	< 10%	25.00%	75.00%	 --	 --	 --							
23	3/20/2015	Computers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	0	20	0.00%	0	0	4.6	0	0	0.00%	0	< 10%	6.25%	86.40%	 --	 --	 --							
3	2/4/2015	Mobile devices with full browsers	Enabled	Generic Car Leasing	40	eligible	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
22	3/14/2015	Mobile devices with full browsers	Enabled	Vauxhall	10	campaign budget constrained	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
9	3/26/2015	Tablets with full browsers	Enabled	Personal Leasing Quotes	15	campaign budget constrained	Search Only	Standard	1	2	50.00%	0.74	0.74	2.5	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
