Keyword state	Keyword	Campaign	Ad group	Status	Max. CPC	Match Type	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Quality score	Converted clicks	Cost / converted click	Click conversion rate	Click Assisted Conv.	Impr. Assisted Conv.	Search Impr. share	Search Exact match IS	Search Lost IS (rank)
enabled	car lease in stock	Bad Credit Leasing	Quick Cars	eligible	0.35	Broad	88	969	9.08%	0.32	28.6	3.9	10	0	0	0.00%	3	5	52.29%	70.37%	32.43%
enabled	used car lease deals	Generic Car Leasing	Used Car Leasing	eligible	auto: 0.22	Broad	589	22471	2.62%	0.26	152.83	5.8	9	7	21.83	1.19%	2	27	28.70%	47.63%	57.45%
enabled	lease jaguar xf	Jaguar	Jaguar Premium Luxury	campaign paused	0.45	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	non status car leasing	Bad Credit Leasing	Bad Credit	paused	0.99	Broad	66	709	9.31%	0.88	58.17	2.5	8	1	58.17	1.52%	0	1	73.93%	100.00%	8.65%
enabled	"""lease cars no deposit"""	No Deposit Deals	No Deposit Deals	eligible	0.99	Phrase	77	278	27.70%	0.81	62.66	1.7	9	2	31.33	2.60%	1	3	61.50%	64.85%	1.55%
enabled	"""car lease companies"""	Generic Car Leasing	Car leasing	eligible	auto: 0.22	Phrase	67	1287	5.21%	0.67	44.61	3.8	9	2	22.3	2.99%	2	1	30.01%	19.37%	19.19%
enabled	"""lease car with bad credit"""	Bad Credit Leasing	Bad Credit	eligible	1.3	Phrase	38	360	10.56%	1.06	40.36	3.5	10	3	13.45	7.89%	0	4	59.70%	55.56%	30.51%
enabled	hippo leasing bad credit	Hippo Leasing	Hippo Leasing (Generic)	eligible	0.98	Broad	2	23	8.70%	0.88	1.77	1.7	8	0	0	0.00%	0	1	100.00%	100.00%	0.00%
enabled	leasing Tiguan	Volkswagen Tiguan	Volkswagen Tiguan	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	car lease deal	Generic Car Leasing	Car leasing	paused	auto: 0.89	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	"""ford transit van lease"""	Ford Transit	Ford Transit	campaign paused	1.75	Phrase	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	"""lease a car no deposit"""	No Deposit Deals	No Deposit Deals	eligible	0.99	Phrase	6	20	30.00%	0.72	4.29	1.9	9	1	4.29	16.67%	0	1	95.24%	100.00%	0.00%
paused	vehicle lease agreements	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	cheap car leasing	Chevrolet	Cherolet Spark	campaign paused	0.59	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
