Match Type	Search term	Added/Excluded	Campaign	Ad group	Keyword	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Converted clicks	Cost / converted click	Click conversion rate
broad	personal car leasing	None	Bad Credit Leasing	Quick Cars	Quick delivery car leasing	10	84	11.90%	0.7	6.96	2.9	0	0	0.00%
broad (session-based)	best personal leasing deals	None	Bad Credit Leasing	Quick Cars	car lease in stock	1	2	50.00%	0.4	0.4	5	0	0	0.00%
broad	hippoleasuing	None	Hippo Leasing	Hippo Leasing (Generic)	hippo car leasing	1	1	100.00%	0.41	0.41	1	0	0	0.00%
broad	stock lease cars	None	Bad Credit Leasing	Quick Cars	car lease in stock	6	19	31.58%	0.33	1.96	2.4	0	0	0.00%
broad	car lease no deposit	None	Hippo Leasing	Hippo Leasing (Generic)	hippo lease cars	7	25	28.00%	1.1	7.71	1.6	0	0	0.00%
broad	car lease no deposit	None	Hippo Leasing	Hippo Leasing (Generic)	hippo leasing no deposit	10	143	6.99%	0.83	8.31	2	0	0	0.00%
broad	used aston martin lease	None	Generic Car Leasing	Used Car Leasing	used car leasing	1	1	100.00%	0.19	0.19	5	0	0	0.00%
broad (session-based)	cars finance	None	No Deposit Deals	No Deposit Deals	no deposit cars	1	1	100.00%	0.9	0.9	5	0	0	0.00%
broad	non status short term car leasing	None	Bad Credit Leasing	Bad Credit	non status car leasing	1	1	100.00%	0.96	0.96	1	0	0	0.00%
broad	lease hire cars	None	Generic Car Leasing	Car leasing	car lease purchase	10	102	9.80%	0.68	6.75	2.9	0	0	0.00%
broad	guaranteed car lease	None	Bad Credit Leasing	Bad Credit	leasing cars with bad credit	23	210	10.95%	0.99	22.67	2.9	1	22.67	4.35%
broad	car leasing companies bad credit uk	None	Bad Credit Leasing	Bad Credit	bad credit car leasing	1	1	100.00%	0.99	0.99	1	0	0	0.00%
broad	cheapest car lease deals no deposit uk	None	No Deposit Deals	No Deposit Deals	lease a car no deposit	1	2	50.00%	0.48	0.48	1	0	0	0.00%
phrase	new ka lease deals	None	Ford KA	KA (1.2 Edge)	"""ka lease"""	1	1	100.00%	0.53	0.53	2	0	0	0.00%
phrase (close variant)	cheapest no deposit lease mini convertable	None	No Deposit Deals	No Deposit Deals	"""no deposit leasing"""	1	2	50.00%	1.08	1.08	2	0	0	0.00%
broad	hippo leasing com	None	Hippo Leasing	Hippo Leasing (Generic)	hippo car lease	1	1	100.00%	0.03	0.03	1	0	0	0.00%
phrase	mercedes a class business lease no deposit	None	No Deposit Deals	No Deposit Deals	"""lease no deposit"""	1	2	50.00%	0.81	0.81	3.5	0	0	0.00%
broad	no deposit car leasing best deals	None	No Deposit Deals	No Deposit Deals	cheap car lease no deposit	1	1	100.00%	1.08	1.08	1	0	0	0.00%
broad	hippo carleasing	None	Hippo Leasing	Hippo Leasing (Generic)	hippo car lease	1	1	100.00%	0.07	0.07	1	0	0	0.00%
broad	carnoisseur car leasing	None	Generic Car Leasing	Used Car Leasing	used car leasing	1	2	50.00%	0.7	0.7	2	0	0	0.00%
broad (session-based)	guaranteed new business car lease	None	Bad Credit Leasing	Bad Credit	lease car bad credit	1	1	100.00%	0.97	0.97	6	0	0	0.00%
broad	uk leasing deals	None	Personal Leasing Quotes	Quick Leasing Quote (Generic)	car leasing deals personal	1	1	100.00%	0.24	0.24	1	0	0	0.00%
broad	taxi lease hire	None	Personal Leasing Quotes	Quick Leasing Quote (Generic)	car leasing deals personal	1	3	33.33%	0.95	0.95	1.7	0	0	0.00%
exact (close variant)	cheapest car lease	None	Generic Car Leasing	Car leasing	"""cheap car lease"""	4	16	25.00%	0.58	2.32	1.8	0	0	0.00%
broad	cheapest car lease	None	Generic Car Leasing	Used Car Leasing	used lease cars	2	9	22.22%	0.32	0.64	4.8	0	0	0.00%
broad	personal used car leasing deals	None	No Deposit Deals	No Deposit Deals	cheap car leasing deals	1	1	100.00%	0.99	0.99	2	0	0	0.00%
broad	mercedes lease deals no deposit	None	No Deposit Deals	No Deposit Deals	lease a car no deposit	12	41	29.27%	0.54	6.53	2.7	0	0	0.00%
broad	car leasing for adverse credit	None	Bad Credit Leasing	Bad Credit	leasing cars with bad credit	1	2	50.00%	1.25	1.25	4.5	0	0	0.00%
broad	lease to buy a car	None	Generic Car Leasing	Used Car Leasing	can you lease a used car	1	1	100.00%	0.19	0.19	4	0	0	0.00%
phrase	lease ford ka cheap	None	Ford KA	KA (1.2 Edge)	"""lease ford ka"""	1	7	14.29%	0.74	0.74	3.4	0	0	0.00%
broad	guaranteed car finance dealers in essex	None	Bad Credit Leasing	Bad Credit	bad credit car leasing	1	10	10.00%	1.17	1.17	4.5	0	0	0.00%
broad	no deposit business car leasing uk	None	No Deposit Deals	No Deposit Deals	lease a car no deposit	1	3	33.33%	0.49	0.49	4.7	1	0.49	100.00%
broad	cheap lease deals no depsoit	None	No Deposit Deals	No Deposit Deals	lease a car no deposit	1	2	50.00%	0.38	0.38	1	0	0	0.00%
broad	do you need credit to lease a car	None	Bad Credit Leasing	Bad Credit	lease cars bad credit	1	1	100.00%	0.94	0.94	4	0	0	0.00%
broad	new van lease bad credit	None	Bad Credit Leasing	Bad Credit	lease car bad credit	1	2	50.00%	0.89	0.89	3	0	0	0.00%
broad (session-based)	vehicle lease	None	Bad Credit Leasing	Bad Credit	lease cars bad credit	1	1	100.00%	0.98	0.98	1	0	0	0.00%
broad	lcar lease	None	Generic Car Leasing	Car leasing	car lease financing	1	1	100.00%	0.73	0.73	1	0	0	0.00%
broad	get car bankrupt non status lease used	None	Bad Credit Leasing	Bad Credit	non status car leasing	1	1	100.00%	0.82	0.82	2	0	0	0.00%
broad	low deposit vehicle leasing	None	No Deposit Deals	No Deposit Deals	lease small deposit	2	3	66.67%	0.66	1.33	2	0	0	0.00%
phrase	lease ford ka edge	None	Ford KA	KA (1.2 Edge)	"""lease ford ka"""	1	1	100.00%	0.34	0.34	2	0	0	0.00%
phrase	car lease companies uk	None	Generic Car Leasing	Car leasing	"""car lease companies"""	1	10	10.00%	0.89	0.89	1.6	0	0	0.00%
broad	mercedes benz aclass poor credit lease	None	Bad Credit Leasing	Bad Credit	lease car bad credit	1	2	50.00%	0.85	0.85	2.5	0	0	0.00%
broad (session-based)	car leasing on newly used cars	None	Bad Credit Leasing	Bad Credit	leasing cars with bad credit	1	1	100.00%	0.86	0.86	3	0	0	0.00%
broad	lease a car including insurance	None	Generic Car Leasing	Used Car Leasing	leasing a used car	1	1	100.00%	0.21	0.21	5	0	0	0.00%
phrase (close variant)	cheap no deposit lease deals	None	No Deposit Deals	No Deposit Deals	"""no deposit leasing"""	1	1	100.00%	0.58	0.58	1	0	0	0.00%
broad	personal car lease deals no deposit	None	Hippo Leasing	Hippo Leasing (Generic)	hippo leasing no deposit	1	2	50.00%	0.81	0.81	2.5	0	0	0.00%
broad	second hand car lease short term	None	Generic Car Leasing	Used Car Leasing	used car lease deals	4	5	80.00%	0.22	0.86	3.2	0	0	0.00%
broad	ford lease cars	None	Ford KA	KA (1.2 Edge)	ford ka leasing	1	39	2.56%	0.9	0.9	7.1	0	0	0.00%
phrase	private car leasing with bad credit history	None	Bad Credit Leasing	Bad Credit	"""car leasing with bad credit"""	1	1	100.00%	1.11	1.11	2	0	0	0.00%
